Scrip Name,Scrip Code,Symbol,ISIN,Scrip Opt,Open Qty,Avg Rate,Open Amt,Closing Rate Exchange,,
ADANIENT,,ADANIENT,INE423A01024,EQ,12,2353.75,19208.97,2501.00,,
ADANIPORTS,,ADANIPORTS,INE742F01042,EQ,37,866.78,27090.86,1766.50,,
ALOKINDS,,ALOKINDS,INE270A01029,EQ,1563,19.93,31150.59,14.08,,
AMBUJACEM,,AMBUJACEM,INE079A01024,EQ,61,502.47,30650.67,436.95,,
ARE&M,,ARE&M,INE885A01032,EQ,37,684.62,20105.05,872.75,,
AXISCADES,,AXISCADES,INE555B01013,EQ,11,1371.64,15088.04,2073.70,,
BANDHANBNK,,BANDHANBNK,INE545U01014,EQ,82,374.58,30715.56,202.00,,
BANKBARODA,,BANKBARODA,INE028A01039,EQ,150,135.23,20284.50,266.05,,
BEL,,BEL,INE263A01024,EQ,201,150.03,20245.26,432.80,,
BHEL,,BHEL,INE257A01026,EQ,252,119.84,25137.60,401.55,,
BPCL,,BPCL,INE029A01011,EQ,138,218.08,30095.04,294.15,,
CDSL,,CDSL,INE736A01011,EQ,11,1470.00,9354.00,1229.00,,
CESC,,CESC,INE486A01021,EQ,235,107.23,25199.05,182.40,,
COALINDIA,,COALINDIA,INE522F01014,EQ,52,390.50,10273.50,463.65,,
CROMPTON,,CROMPTON,INE299U01018,EQ,106,285.95,25506.80,290.20,,
DHFL,,DHFL,INE202B01012,EQ,1000,13.85,13850.00,13.85,,
EDELWEISS,,EDELWEISS,INE532F01054,EQ,140,108.72,15220.80,124.30,,
EMBASSY,,EMBASSY,INE041025011,EQ,92,392.36,26006.79,421.93,,
EMBDL,,EMBDL,INE069I01010,EQ,310,97.04,30082.40,72.40,,
ENGINERSIN,,ENGINERSIN,INE510A01028,EQ,218,115.41,25159.38,248.80,,,
EVEXIA,,ELVEXIA,INE313M01030,EQ,180,2.29,412.20,2.29,,
EXIDEIND,,EXIDEIND,INE302A01020,EQ,101,252.33,25485.33,351.55,,
FEDERALBNK,,FEDERALBNK,INE171A01029,EQ,185,167.64,25085.76,293.00,,
GOLDBEES,,GOLDBEES,INF204KB17I5,EQ,513,117.37,45188.00,123.25,,
GRANULES,,GRANULES,INE101D01020,EQ,64,391.40,20120.20,755.05,,
GRSE,,GRSE,INE382Z01011,EQ,13,2486.85,16960.23,2940.50,,
GTLINFRA,,GTLINFRA,INE221H01019,EQ,500,1.10,550.00,1.42,,
